Language,Nexus_Name,Glottocode,Calibration,Latitude,Longitude
ROOT,,,0.5-2.0,,
Akuntsu,Akuntsu,akun1241,2.010,-12.38,-60.97
Amanaye,Amanaye,,2.020,,
Amondawa,Amondawa,amun1246,2.010,-9.04,-62.31
Anambe_of_Ehrenreic,Anambe_of_Ehrenreic,,2.000,,
Anambe,Anambe,anam1249,2.000,-2.71,-49.3
Apapokuva,Apapokuva_of_Nimuen,,1.932,,
Apiaka,Apiaka,apia1248,2.010,-7.85,-7.91
Arawete,Arawete,araw1273,2.010,-4.9,-52.5
Arikem,Arikem,arik1264,1.930,-8.92,-63.74
Arua,Arua,arua1261,1.990,-12.12,-62.44
Aruashi,Aruashi,,,,
Asurini_T,Asurini_do_Tocantin,toca1235,2.010,-3.59,-49.9
Asurini_X,Asuriní Xingu,xing1248,2.010,-4.13,-52.32
Ava_Canoeiro,Ava_Canoeiro,avac1239,2.015,-13.61,-48.13
Aweti,Aweti,awet1244,2.015,-12.38,-53.39
Chiriguano,Chiriguano,east2555,2.010,-20.42,-63.37
Nhandeva,Ñandeva,,2.020,,
Cinta_Larga,Cinta_Larga,cint1239,1.990,-10.59,-60.83
Cocama,Cocama_Cocamilla,coca1259,2.010,-4.5,-74
Emerillon_Teko,Emerillon_Teko,emer1243,2.018,3.24,-52.37
Gaviao,Gaviao_Ikoloehj,gavi1246,2.020,-10.72,-61.68
Guaja,Guaja,guaj1256,2.015,-3.94,-46.37
Guajajara,Guajajara,guaj1255,2.000,-4.69,-45.71
Guarani_Paraguay,Guarani_Paraguay,para1311,2.015,-25.61,-57.09
Guarayo,Guarayo,guar1292,1.960,-15.82,-61.69
Guayaki_Ache,Guayaki_Ache,ache1246,2.010,-25.59,-56.47
Jiahoi,Jiahoi,,2.020,,
Jora,Jora,,2.020,,
Juma,Juma,,,,
Juruna,Juruna_Yudja,juru1256,1.990,-10.94,-53.35
Kaapor,Ka'apor,urub1250,2.015,-2.46,-46.22
Kabanae,Kabanae,,,,
Kaiowa,Kaiowa,kaiw1246,2.015,-24.59,-54.68
Kamajura,Kamajura,kama1373,2.005,-12.27,-53.47
Kampe,Kampe,,,,
Karitiana,Karitiana,kari1311,2.010,-9.38,-64.15
Karo,Karo_Arara,karo1305,1.990,-10.33,-61.57
Kayabi,Kayabi,kaya1329,2.010,-11.27,-55.55
Kepkiriwat,Kepkiriwat,,,,
Kuruaya,Kuruaya,kuru1309,1.950,-3.1,-52.23
Makurap,Makurap,maku1278,1.990,-11.87,-64.32
Matanau,Matanau,,,,
Mbya,Mbya,mbya1239,2.015,-26.02,-52.71
Mekens,Mekens_Sakurabiat,saki1248,2.000,-13.05,-62.09
Monde,Monde,sala1273,1.990,-12.05,-61.25
Munduruku,Munduruku,mund1330,2.015,-8.41,-57.69
Nheengatu,Nheengatu,nhen1239,2.010,1.05,-66.96
Ntogapid_Itogapuk,Ntogapid_Itogapuk,,,,
Old_Guarani,Old_Guarani,,1.635,-26.25,-54.29
Omagua,Omagua,omag1248,2.015,-3.53,-69.17
Parakana,Parakana,para1312,2.015,-4.65,-50.06
Parintintin,Parintintin,tenh1241,2.010,-7.94,-50.06
Purubora,Purubora,puru1264,1.920,-11.42,-62.44
Ramarama,Ramarama,,1.945,-10.4,-63
Satere_Mawe,Satere_Mawe,sate1243,2.010,-3.64,-56.87
Siriono,Siriono,siri1273,2.010,-15.53,-63.97
Surui_A,Surui_Aikewara,suru1262,2.010,-5.93,-48.59
Surui_P,Surui_Paiter,suru1262,1.990,-11.1,-61.28
Tapiete,Tapiete,tapi1253,2.015,-21.42,-62.68
Tapirape_Apyawa,Tapirape_Apyawa,tapi1254,2.015,-10.54,-50.54
Tembe,Tembe,temb1276,2.000,-2.61,-48.24
Tenharim,Tenharim,,2.010,-8.33,-61.9
Tupari,Tupari,tupa1250,1.980,-11.89,-62.25
Tupi_Austral,Lingua_Geral_Paulis,tupi1274,1.850,-23.95,-46.38
Tupi_do_Machado,Tupi_do_Machado_Wir,,2.020,,
Tupinamba,Tupinamba,tupi1273,1.595,-8.11,-34.89
Turiwara,Turiwara,,2.020,,
Urueuwauwau,Urueuwauwau,urue1240,2.010,-10.92,-63.81
Uruku,Uruku,,,,
Urumi,Urumi,,,,
Warazu_Pauserna,Warazu_Pauserna,paus1244,2.017,-12.86,-63.19
Wayampi,Wayampi,waya1270,1.990,-1.74,-52.69
Wayoro,Wayoro,wayo1238,2.005,-12.69,-61.31
Xeta,Xeta,xeta1241,2.010,-24.94,-52.23
Xipaya,Xipaya,xipa1240,1.940,-4.13,-49.95
Yuki,Yuki,yuqu1240,2.010,-16.79,-64.94
Zoe,Zo_e,zoee1240,2.010,-1.77,-55.51
Zoro,Zoro,gavi1246,2.010,-10.72,-61.68
"Arikem, Karitiana",,,0.05 - 3.0,,
"Juruna, Xipaya",,,0.05 - 3.0,,
"Arua, Aruashi, Cinta_Larga, Gaviao, Kabanae, Matanau, Monde, Surui_P, Zoro",,,0.05 - 3.0,,
"Munduruku, Kuruaya",,,0.05 - 3.0,,
"Karo, Ntogapid_Itogapuk, Purubora, Ramarama, Uruku, Urumi",,,0.05 - 3.0,,
"Akuntsu, Kampe, Kepkiriwat, Makurap, Mekens, Tupari, Wayoro",,,0.05 - 3.0,,
"Cocama, Omagua",,,0.05 - 3.0,,
"Amanaye, Amondawa, Anambe, Anambe_of_Ehrenreic, Apapokuva, Apiaka, Arawete, Asurini_T, Asurini_X, Ava_Canoeiro, Chiriguano, Chiripa, Emerillon_Teko, Guaja, Guajajara, Guarani_Paraguay, Guarayo, Guayaki_Ache, Jiahoi, Jora, Juma, Kaapor, Kaiowa, Kamajura, Kayabi, Tupi_Austral, Mbya, Nheengatu, Old_Guarani, Parakana, Parintintin, Siriono, Surui_A, Tapiete, Tapirape_Apyawa, Tembe, Tenharim, Tupi_do_Machado, Tupinamba, Turiwara, Urueuwauwau, Warazu_Pauserna, Wayampi, Xeta, Yuki, Zoe",,,0.05 - 3.0,,
